Race,Driver,AvgPosition
Azerbaijan Grand Prix,HAD,10.0
Azerbaijan Grand Prix,HAM,9.0
Azerbaijan Grand Prix,HUL,13.5
Azerbaijan Grand Prix,LAT,15.5
Azerbaijan Grand Prix,LAW,5.0
Azerbaijan Grand Prix,LEC,8.5
Azerbaijan Grand Prix,MAG,17.0
Azerbaijan Grand Prix,MAZ,14.0
Azerbaijan Grand Prix,MSC,13.5
Azerbaijan Grand Prix,NOR,6.25
Azerbaijan Grand Prix,OCO,14.75
Azerbaijan Grand Prix,PER,6.666666666666667
Azerbaijan Grand Prix,PIA,10.5
Azerbaijan Grand Prix,RAI,10.0
Azerbaijan Grand Prix,RIC,10.0
Azerbaijan Grand Prix,RUS,6.25
Azerbaijan Grand Prix,SAI,12.25
Azerbaijan Grand Prix,STR,17.75
Azerbaijan Grand Prix,TSU,11.5
Azerbaijan Grand Prix,VER,6.25
Azerbaijan Grand Prix,VET,4.0
Azerbaijan Grand Prix,ZHO,16.0
Bahrain Grand Prix,ALB,12.5
Bahrain Grand Prix,ALO,11.0
Bahrain Grand Prix,ANT,11.0
Bahrain Grand Prix,BEA,10.0
Bahrain Grand Prix,BOR,18.0
Bahrain Grand Prix,BOT,9.0
Bahrain Grand Prix,DEV,14.0
Bahrain Grand Prix,DOO,14.0
Bahrain Grand Prix,GAS,14.2
Bahrain Grand Prix,GIO,12.0
Bahrain Grand Prix,HAD,13.0
Bahrain Grand Prix,HAM,4.2
Bahrain Grand Prix,HUL,17.0
Bahrain Grand Prix,LAT,17.0
Bahrain Grand Prix,LAW,16.0
Bahrain Grand Prix,LEC,6.8
Bahrain Grand Prix,MAG,10.0
Bahrain Grand Prix,MAZ,20.0
Bahrain Grand Prix,MSC,13.5
Bahrain Grand Prix,NOR,9.0
Bahrain Grand Prix,OCO,12.6
Bahrain Grand Prix,PER,7.333333333333333
Bahrain Grand Prix,PIA,9.666666666666666
Bahrain Grand Prix,RAI,11.0
Bahrain Grand Prix,RIC,11.333333333333334
Bahrain Grand Prix,RUS,6.4
Bahrain Grand Prix,SAI,7.2
Bahrain Grand Prix,SAR,16.0
Bahrain Grand Prix,STR,11.0
Bahrain Grand Prix,TSU,10.2
Bahrain Grand Prix,VER,5.8
Bahrain Grand Prix,VET,15.0
Bahrain Grand Prix,ZHO,12.333333333333334
Belgian Grand Prix,ALB,9.333333333333334
Belgian Grand Prix,ALO,10.25
Belgian Grand Prix,ANT,16.0
Belgian Grand Prix,BEA,11.0
Belgian Grand Prix,BOR,9.0
Belgian Grand Prix,BOT,15.333333333333334
Belgian Grand Prix,COL,19.0
Belgian Grand Prix,GAS,9.666666666666666
Belgian Grand Prix,GIO,13.0
Belgian Grand Prix,HAD,20.0
Belgian Grand Prix,HAM,7.75
Belgian Grand Prix,HUL,15.0
Belgian Grand Prix,LAT,13.5
Belgian Grand Prix,LAW,8.0
Belgian Grand Prix,LEC,5.0
Belgian Grand Prix,MAG,15.0
Belgian Grand Prix,MAZ,17.0
Belgian Grand Prix,MSC,16.5
Belgian Grand Prix,NOR,8.25
Belgian Grand Prix,OCO,9.5
Belgian Grand Prix,PER,4.5
Belgian Grand Prix,PIA,1.5
Belgian Grand Prix,RIC,9.666666666666666
Belgian Grand Prix,RUS,7.75
Belgian Grand Prix,SAI,9.25
Belgian Grand Prix,SAR,17.0
Belgian Grand Prix,STR,14.0
Belgian Grand Prix,TSU,14.666666666666666
Belgian Grand Prix,VER,2.5
Belgian Grand Prix,VET,6.5
Belgian Grand Prix,ZHO,16.5
British Grand Prix,ALB,12.333333333333334
British Grand Prix,ALO,7.25
British Grand Prix,ANT,16.0
British Grand Prix,BEA,11.0
British Grand Prix,BOR,18.0
British Grand Prix,BOT,11.666666666666666
British Grand Prix,COL,20.0
British Grand Prix,GAS,13.25
British Grand Prix,GIO,13.0
British Grand Prix,HAD,17.0
British Grand Prix,HAM,2.25
British Grand Prix,HUL,4.5
British Grand Prix,LAT,13.0
British Grand Prix,LAW,19.0
British Grand Prix,LEC,8.5
British Grand Prix,MAG,11.0
British Grand Prix,MAZ,17.0
British Grand Prix,MSC,13.0
British Grand Prix,NOR,3.5
British Grand Prix,OCO,13.25
British Grand Prix,PER,9.5
British Grand Prix,PIA,3.0
British Grand Prix,RAI,15.0
British Grand Prix,RIC,10.333333333333334
British Grand Prix,RUS,14.75
British Grand Prix,SAI,6.0
British Grand Prix,SAR,11.0
British Grand Prix,STR,8.25
British Grand Prix,TSU,12.25
British Grand Prix,VER,8.5
British Grand Prix,VET,14.0
British Grand Prix,ZHO,18.5
Canadian Grand Prix,ALB,16.666666666666668
Canadian Grand Prix,ALO,7.333333333333333
Canadian Grand Prix,ANT,3.0
Canadian Grand Prix,BEA,11.0
Canadian Grand Prix,BOR,14.0
Canadian Grand Prix,BOT,10.0
Canadian Grand Prix,COL,13.0
Canadian Grand Prix,GAS,12.666666666666666
Canadian Grand Prix,HAD,16.0
Canadian Grand Prix,HAM,4.333333333333333
Canadian Grand Prix,HUL,9.5
Canadian Grand Prix,LAT,16.0
Canadian Grand Prix,LAW,19.0
Canadian Grand Prix,LEC,9.666666666666666
Canadian Grand Prix,MAG,14.5
Canadian Grand Prix,MSC,19.0
Canadian Grand Prix,NOR,11.666666666666666
Canadian Grand Prix,OCO,8.333333333333334
Canadian Grand Prix,PER,19.0
Canadian Grand Prix,PIA,4.5
Canadian Grand Prix,RIC,9.5
Canadian Grand Prix,RUS,2.6666666666666665
Canadian Grand Prix,SAI,9.333333333333334
Canadian Grand Prix,SAR,20.0
Canadian Grand Prix,STR,11.333333333333334
Canadian Grand Prix,TSU,14.666666666666666
Canadian Grand Prix,VER,1.3333333333333333
Canadian Grand Prix,VET,12.0
Canadian Grand Prix,ZHO,11.5
Chinese Grand Prix,ALB,9.5
Chinese Grand Prix,ALO,12.0
Chinese Grand Prix,ANT,6.0
Chinese Grand Prix,BEA,8.0
Chinese Grand Prix,BOR,14.0
Chinese Grand Prix,BOT,20.0
Chinese Grand Prix,DOO,13.0
Chinese Grand Prix,GAS,16.5
Chinese Grand Prix,HAD,11.0
Chinese Grand Prix,HAM,14.0
Chinese Grand Prix,HUL,12.5
Chinese Grand Prix,LAW,12.0
Chinese Grand Prix,LEC,11.0
Chinese Grand Prix,MAG,16.0
Chinese Grand Prix,NOR,2.0
Chinese Grand Prix,OCO,8.0
Chinese Grand Prix,PER,3.0
Chinese Grand Prix,PIA,4.5
Chinese Grand Prix,RIC,18.0
Chinese Grand Prix,RUS,4.5
Chinese Grand Prix,SAI,7.5
Chinese Grand Prix,SAR,17.0
Chinese Grand Prix,STR,12.0
Chinese Grand Prix,TSU,17.5
Chinese Grand Prix,VER,2.5
Chinese Grand Prix,ZHO,14.0
Dutch Grand Prix,ALB,10.333333333333334
Dutch Grand Prix,ALO,7.5
Dutch Grand Prix,ANT,16.0
Dutch Grand Prix,BEA,6.0
Dutch Grand Prix,BOR,15.0
Dutch Grand Prix,BOT,13.666666666666666
Dutch Grand Prix,COL,11.0
Dutch Grand Prix,GAS,10.25
Dutch Grand Prix,GIO,14.0
Dutch Grand Prix,HAD,3.0
Dutch Grand Prix,HAM,8.5
Dutch Grand Prix,HUL,12.5
Dutch Grand Prix,KUB,15.0
Dutch Grand Prix,LAT,18.0
Dutch Grand Prix,LAW,12.0
Dutch Grand Prix,LEC,7.5
Dutch Grand Prix,MAG,16.5
Dutch Grand Prix,MAZ,20.0
Dutch Grand Prix,MSC,15.5
Dutch Grand Prix,NOR,9.0
Dutch Grand Prix,OCO,10.75
Dutch Grand Prix,PER,5.5
Dutch Grand Prix,PIA,2.5
Dutch Grand Prix,RIC,13.333333333333334
Dutch Grand Prix,RUS,7.5
Dutch Grand Prix,SAI,8.25
Dutch Grand Prix,SAR,16.0
Dutch Grand Prix,STR,10.5
Dutch Grand Prix,TSU,16.25
Dutch Grand Prix,VER,1.5
Dutch Grand Prix,VET,13.5
Dutch Grand Prix,ZHO,18.0
Emilia Romagna Grand Prix,ALB,12.0
Emilia Romagna Grand Prix,ALO,14.75
Emilia Romagna Grand Prix,ANT,19.0
Emilia Romagna Grand Prix,BEA,17.0
Emilia Romagna Grand Prix,BOR,18.0
Emilia Romagna Grand Prix,BOT,13.666666666666666
Emilia Romagna Grand Prix,COL,16.0
Emilia Romagna Grand Prix,GAS,12.0
Emilia Romagna Grand Prix,GIO,14.0
Emilia Romagna Grand Prix,HAD,9.0
Emilia Romagna Grand Prix,HAM,6.25
Emilia Romagna Grand Prix,HUL,11.5
Emilia Romagna Grand Prix,LAT,18.0
Emilia Romagna Grand Prix,LAW,14.0
Emilia Romagna Grand Prix,LEC,4.75
Emilia Romagna Grand Prix,MAG,10.5
Emilia Romagna Grand Prix,MAZ,17.0
Emilia Romagna Grand Prix,MSC,16.5
Emilia Romagna Grand Prix,NOR,2.5
Emilia Romagna Grand Prix,OCO,14.25
Emilia Romagna Grand Prix,PER,7.0
Emilia Romagna Grand Prix,PIA,3.5
Emilia Romagna Grand Prix,RAI,13.0
Emilia Romagna Grand Prix,RIC,12.333333333333334
Emilia Romagna Grand Prix,RUS,9.25
Emilia Romagna Grand Prix,SAI,9.5
Emilia Romagna Grand Prix,SAR,17.0
Emilia Romagna Grand Prix,STR,10.5
Emilia Romagna Grand Prix,TSU,9.75
Emilia Romagna Grand Prix,VER,1.0
Emilia Romagna Grand Prix,VET,8.0
Emilia Romagna Grand Prix,ZHO,15.0
French Grand Prix,ALB,13.0
French Grand Prix,ALO,7.0
French Grand Prix,BOT,9.0
French Grand Prix,GAS,9.5
French Grand Prix,GIO,15.0
French Grand Prix,HAM,2.0
French Grand Prix,LAT,17.5
French Grand Prix,LEC,17.5
French Grand Prix,MAG,18.0
French Grand Prix,MAZ,20.0
French Grand Prix,MSC,17.0
French Grand Prix,NOR,6.0
French Grand Prix,OCO,11.0
French Grand Prix,PER,3.5
French Grand Prix,RAI,17.0
French Grand Prix,RIC,7.5
French Grand Prix,RUS,7.5
French Grand Prix,SAI,8.0
French Grand Prix,STR,10.0
French Grand Prix,TSU,20.0
French Grand Prix,VER,1.0
French Grand Prix,VET,10.0
French Grand Prix,ZHO,16.0
Hungarian Grand Prix,ALB,15.333333333333334
Hungarian Grand Prix,ALO,7.0
Hungarian Grand Prix,ANT,10.0
Hungarian Grand Prix,BEA,20.0
Hungarian Grand Prix,BOR,6.0
Hungarian Grand Prix,BOT,17.333333333333332
Hungarian Grand Prix,COL,18.0
Hungarian Grand Prix,GAS,14.666666666666666
Hungarian Grand Prix,HAD,11.0
Hungarian Grand Prix,HAM,4.75
Hungarian Grand Prix,HUL,13.0
Hungarian Grand Prix,LAT,12.5
Hungarian Grand Prix,LAW,8.0
Hungarian Grand Prix,LEC,8.0
Hungarian Grand Prix,MAG,15.5
Hungarian Grand Prix,MAZ,14.0
Hungarian Grand Prix,MSC,13.0
Hungarian Grand Prix,NOR,6.25
Hungarian Grand Prix,OCO,11.0
Hungarian Grand Prix,PER,9.666666666666666
Hungarian Grand Prix,PIA,1.5
Hungarian Grand Prix,RAI,10.0
Hungarian Grand Prix,RIC,12.666666666666666
Hungarian Grand Prix,RUS,5.5
Hungarian Grand Prix,SAI,6.75
Hungarian Grand Prix,SAR,17.0
Hungarian Grand Prix,STR,11.75
Hungarian Grand Prix,TSU,12.75
Hungarian Grand Prix,VER,6.0
Hungarian Grand Prix,VET,15.0
Hungarian Grand Prix,ZHO,16.0
Italian Grand Prix,ALB,8.0
Italian Grand Prix,ALO,14.25
Italian Grand Prix,ANT,9.0
Italian Grand Prix,BEA,12.0
Italian Grand Prix,BOR,8.0
Italian Grand Prix,BOT,10.666666666666666
Italian Grand Prix,COL,14.5
Italian Grand Prix,DEV,9.0
Italian Grand Prix,GAS,13.0
Italian Grand Prix,GIO,13.0
Italian Grand Prix,HAD,10.0
Italian Grand Prix,HAM,8.25
Italian Grand Prix,HUL,18.5
Italian Grand Prix,KUB,14.0
Italian Grand Prix,LAT,13.0
Italian Grand Prix,LAW,14.0
Italian Grand Prix,LEC,2.75
Italian Grand Prix,MAG,13.0
Italian Grand Prix,MAZ,16.0
Italian Grand Prix,MSC,13.5
Italian Grand Prix,NOR,3.5
Italian Grand Prix,OCO,12.5
Italian Grand Prix,PER,6.333333333333333
Italian Grand Prix,PIA,2.5
Italian Grand Prix,RIC,10.333333333333334
Italian Grand Prix,RUS,6.0
Italian Grand Prix,SAI,6.25
Italian Grand Prix,STR,15.5
Italian Grand Prix,TSU,15.666666666666666
Italian Grand Prix,VER,6.5
Italian Grand Prix,VET,16.0
Italian Grand Prix,ZHO,14.0
Japanese Grand Prix,ALB,16.333333333333332
Japanese Grand Prix,ALO,8.0
Japanese Grand Prix,ANT,6.0
Japanese Grand Prix,BEA,10.0
Japanese Grand Prix,BOR,19.0
Japanese Grand Prix,BOT,14.5
Japanese Grand Prix,DOO,15.0
Japanese Grand Prix,GAS,15.666666666666666
Japanese Grand Prix,HAD,8.0
Japanese Grand Prix,HAM,7.0
Japanese Grand Prix,HUL,13.5
Japanese Grand Prix,LAT,9.0
Japanese Grand Prix,LAW,17.0
Japanese Grand Prix,LEC,3.6666666666666665
Japanese Grand Prix,MAG,13.5
Japanese Grand Prix,MSC,17.0
Japanese Grand Prix,NOR,5.666666666666667
Japanese Grand Prix,OCO,12.333333333333334
Japanese Grand Prix,PER,2.0
Japanese Grand Prix,PIA,5.5
Japanese Grand Prix,RIC,15.0
Japanese Grand Prix,RUS,6.666666666666667
Japanese Grand Prix,SAI,12.0
Japanese Grand Prix,SAR,17.0
Japanese Grand Prix,STR,14.666666666666666
Japanese Grand Prix,TSU,11.666666666666666
Japanese Grand Prix,VER,1.0
Japanese Grand Prix,VET,6.0
Japanese Grand Prix,ZHO,17.0
Las Vegas Grand Prix,ALB,17.5
Las Vegas Grand Prix,ALO,11.0
Las Vegas Grand Prix,ANT,3.0
Las Vegas Grand Prix,BEA,10.0
Las Vegas Grand Prix,BOR,17.0
Las Vegas Grand Prix,BOT,18.0
Las Vegas Grand Prix,COL,14.5
Las Vegas Grand Prix,GAS,16.5
Las Vegas Grand Prix,HAD,6.0
Las Vegas Grand Prix,HAM,5.0
Las Vegas Grand Prix,HUL,7.5
Las Vegas Grand Prix,LAW,15.0
Las Vegas Grand Prix,LEC,4.0
Las Vegas Grand Prix,MAG,12.0
Las Vegas Grand Prix,NOR,12.5
Las Vegas Grand Prix,OCO,13.0
Las Vegas Grand Prix,PER,10.0
Las Vegas Grand Prix,PIA,13.5
Las Vegas Grand Prix,RUS,1.5
Las Vegas Grand Prix,SAI,4.0
Las Vegas Grand Prix,STR,16.5
Las Vegas Grand Prix,TSU,10.5
Las Vegas Grand Prix,VER,3.0
Las Vegas Grand Prix,ZHO,13.0
Mexico City Grand Prix,ALB,15.5
Mexico City Grand Prix,ALO,15.0
Mexico City Grand Prix,ANT,6.0
Mexico City Grand Prix,BEA,4.0
Mexico City Grand Prix,BOR,10.0
Mexico City Grand Prix,BOT,14.5
Mexico City Grand Prix,COL,14.0
Mexico City Grand Prix,GAS,9.666666666666666
Mexico City Grand Prix,GIO,11.0
Mexico City Grand Prix,HAD,13.0
Mexico City Grand Prix,HAM,4.666666666666667
Mexico City Grand Prix,HUL,14.0
Mexico City Grand Prix,LAT,17.0
Mexico City Grand Prix,LAW,18.0
Mexico City Grand Prix,LEC,3.3333333333333335
Mexico City Grand Prix,MAG,7.0
Mexico City Grand Prix,MAZ,18.0
Mexico City Grand Prix,MSC,19.0
Mexico City Grand Prix,NOR,4.333333333333333
Mexico City Grand Prix,OCO,11.0
Mexico City Grand Prix,PER,10.0
Mexico City Grand Prix,PIA,6.5
Mexico City Grand Prix,RAI,8.0
Mexico City Grand Prix,RIC,12.0
Mexico City Grand Prix,RUS,9.333333333333334
Mexico City Grand Prix,SAI,8.0
Mexico City Grand Prix,STR,13.0
Mexico City Grand Prix,TSU,17.0
Mexico City Grand Prix,VER,3.3333333333333335
Mexico City Grand Prix,VET,7.0
Mexico City Grand Prix,ZHO,15.0
Miami Grand Prix,ALB,10.666666666666666
Miami Grand Prix,ALO,11.666666666666666
Miami Grand Prix,ANT,6.0
Miami Grand Prix,BEA,19.0
Miami Grand Prix,BOR,18.0
Miami Grand Prix,BOT,11.5
Miami Grand Prix,DOO,20.0
Miami Grand Prix,GAS,14.333333333333334
Miami Grand Prix,HAD,11.0
Miami Grand Prix,HAM,6.666666666666667
Miami Grand Prix,HUL,12.5
Miami Grand Prix,LAT,14.0
Miami Grand Prix,LAW,17.0
Miami Grand Prix,LEC,4.0
Miami Grand Prix,MAG,17.5
Miami Grand Prix,MSC,15.0
Miami Grand Prix,NOR,7.333333333333333
Miami Grand Prix,OCO,10.0
Miami Grand Prix,PER,4.0
Miami Grand Prix,PIA,7.0
Miami Grand Prix,RIC,14.0
Miami Grand Prix,RUS,5.333333333333333
Miami Grand Prix,SAI,5.666666666666667
Miami Grand Prix,SAR,20.0
Miami Grand Prix,STR,16.5
Miami Grand Prix,TSU,9.666666666666666
Miami Grand Prix,VER,2.3333333333333335
Miami Grand Prix,ZHO,17.0
Monaco Grand Prix,ALB,12.0
Monaco Grand Prix,ALO,12.5
Monaco Grand Prix,ANT,18.0
Monaco Grand Prix,BEA,12.0
Monaco Grand Prix,BOR,14.0
Monaco Grand Prix,BOT,13.666666666666666
Monaco Grand Prix,COL,13.0
Monaco Grand Prix,GAS,11.75
Monaco Grand Prix,GIO,10.0
Monaco Grand Prix,HAD,6.0
Monaco Grand Prix,HAM,6.75
Monaco Grand Prix,HUL,17.5
Monaco Grand Prix,LAT,15.0
Monaco Grand Prix,LAW,8.0
Monaco Grand Prix,LEC,6.75
Monaco Grand Prix,MAG,20.0
Monaco Grand Prix,MAZ,17.0
Monaco Grand Prix,MSC,18.5
Monaco Grand Prix,NOR,3.5
Monaco Grand Prix,OCO,11.25
Monaco Grand Prix,PER,7.666666666666667
Monaco Grand Prix,PIA,2.5
Monaco Grand Prix,RAI,11.0
Monaco Grand Prix,RIC,12.333333333333334
Monaco Grand Prix,RUS,8.75
Monaco Grand Prix,SAI,4.25
Monaco Grand Prix,SAR,15.0
Monaco Grand Prix,STR,12.75
Monaco Grand Prix,TSU,14.5
Monaco Grand Prix,VER,3.5
Monaco Grand Prix,VET,7.5
Monaco Grand Prix,ZHO,16.0
Portuguese Grand Prix,ALO,8.0
Portuguese Grand Prix,BOT,3.0
Portuguese Grand Prix,GAS,10.0
Portuguese Grand Prix,GIO,12.0
Portuguese Grand Prix,HAM,1.0
Portuguese Grand Prix,LAT,18.0
Portuguese Grand Prix,LEC,6.0
Portuguese Grand Prix,MAZ,19.0
Portuguese Grand Prix,MSC,17.0
Portuguese Grand Prix,NOR,5.0
Portuguese Grand Prix,OCO,7.0
Portuguese Grand Prix,PER,4.0
Portuguese Grand Prix,RAI,20.0
Portuguese Grand Prix,RIC,9.0
Portuguese Grand Prix,RUS,16.0
Portuguese Grand Prix,SAI,11.0
Portuguese Grand Prix,STR,14.0
Portuguese Grand Prix,TSU,15.0
Portuguese Grand Prix,VER,2.0
Portuguese Grand Prix,VET,13.0
Qatar Grand Prix,ALB,13.0
Qatar Grand Prix,ALO,5.666666666666667
Qatar Grand Prix,ANT,5.0
Qatar Grand Prix,BEA,19.0
Qatar Grand Prix,BOR,13.0
Qatar Grand Prix,BOT,15.5
Qatar Grand Prix,COL,16.5
Qatar Grand Prix,GAS,10.666666666666666
Qatar Grand Prix,GIO,15.0
Qatar Grand Prix,HAD,18.0
Qatar Grand Prix,HAM,8.333333333333334
Qatar Grand Prix,HUL,18.0
Qatar Grand Prix,LAT,19.0
Qatar Grand Prix,LAW,11.5
Qatar Grand Prix,LEC,6.0
Qatar Grand Prix,MAG,9.0
Qatar Grand Prix,MAZ,18.0
Qatar Grand Prix,MSC,16.0
Qatar Grand Prix,NOR,7.666666666666667
Qatar Grand Prix,OCO,13.333333333333334
Qatar Grand Prix,PER,10.5
Qatar Grand Prix,PIA,2.5
Qatar Grand Prix,RAI,14.0
Qatar Grand Prix,RIC,12.0
Qatar Grand Prix,RUS,9.0
Qatar Grand Prix,SAI,5.333333333333333
Qatar Grand Prix,STR,13.666666666666666
Qatar Grand Prix,TSU,12.0
Qatar Grand Prix,VER,1.3333333333333333
Qatar Grand Prix,VET,10.0
Qatar Grand Prix,ZHO,8.0
Russian Grand Prix,ALO,6.0
Russian Grand Prix,BOT,5.0
Russian Grand Prix,GAS,13.0
Russian Grand Prix,GIO,16.0
Russian Grand Prix,HAM,1.0
Russian Grand Prix,LAT,19.0
Russian Grand Prix,LEC,15.0
Russian Grand Prix,MAZ,18.0
Russian Grand Prix,MSC,20.0
Russian Grand Prix,NOR,7.0
Russian Grand Prix,OCO,14.0
Russian Grand Prix,PER,9.0
Russian Grand Prix,RAI,8.0
Russian Grand Prix,RIC,4.0
Russian Grand Prix,RUS,10.0
Russian Grand Prix,SAI,3.0
Russian Grand Prix,STR,11.0
Russian Grand Prix,TSU,17.0
Russian Grand Prix,VER,2.0
Russian Grand Prix,VET,12.0
Saudi Arabian Grand Prix,ALB,11.333333333333334
Saudi Arabian Grand Prix,ALO,11.25
Saudi Arabian Grand Prix,ANT,6.0
Saudi Arabian Grand Prix,BEA,10.0
Saudi Arabian Grand Prix,BOR,18.0
Saudi Arabian Grand Prix,BOT,11.666666666666666
Saudi Arabian Grand Prix,DOO,17.0
Saudi Arabian Grand Prix,GAS,13.5
Saudi Arabian Grand Prix,GIO,9.0
Saudi Arabian Grand Prix,HAD,10.0
Saudi Arabian Grand Prix,HAM,6.75
Saudi Arabian Grand Prix,HUL,12.333333333333334
Saudi Arabian Grand Prix,LAT,15.0
Saudi Arabian Grand Prix,LAW,12.0
Saudi Arabian Grand Prix,LEC,3.75
Saudi Arabian Grand Prix,MAG,10.5
Saudi Arabian Grand Prix,MAZ,18.0
Saudi Arabian Grand Prix,MSC,20.0
Saudi Arabian Grand Prix,NOR,7.25
Saudi Arabian Grand Prix,OCO,9.25
Saudi Arabian Grand Prix,PER,7.666666666666667
Saudi Arabian Grand Prix,PIA,2.5
Saudi Arabian Grand Prix,RAI,15.0
Saudi Arabian Grand Prix,RIC,12.666666666666666
Saudi Arabian Grand Prix,RUS,8.75
Saudi Arabian Grand Prix,SAI,6.333333333333333
Saudi Arabian Grand Prix,SAR,14.0
Saudi Arabian Grand Prix,STR,14.75
Saudi Arabian Grand Prix,TSU,16.75
Saudi Arabian Grand Prix,VER,1.5
Saudi Arabian Grand Prix,VET,16.0
Saudi Arabian Grand Prix,ZHO,14.5
Singapore Grand Prix,ALB,17.0
Singapore Grand Prix,ALO,11.0
Singapore Grand Prix,ANT,5.0
Singapore Grand Prix,BEA,9.0
Singapore Grand Prix,BOR,17.0
Singapore Grand Prix,BOT,13.5
Singapore Grand Prix,COL,13.5
Singapore Grand Prix,GAS,15.333333333333334
Singapore Grand Prix,HAD,11.0
Singapore Grand Prix,HAM,7.666666666666667
Singapore Grand Prix,HUL,14.5
Singapore Grand Prix,LAT,19.0
Singapore Grand Prix,LAW,15.0
Singapore Grand Prix,LEC,4.333333333333333
Singapore Grand Prix,MAG,15.5
Singapore Grand Prix,MSC,13.0
Singapore Grand Prix,NOR,2.6666666666666665
Singapore Grand Prix,OCO,15.666666666666666
Singapore Grand Prix,PER,5.5
Singapore Grand Prix,PIA,3.5
Singapore Grand Prix,RIC,11.5
Singapore Grand Prix,RUS,2.5
Singapore Grand Prix,SAI,6.666666666666667
Singapore Grand Prix,STR,11.0
Singapore Grand Prix,TSU,13.0
Singapore Grand Prix,VER,3.6666666666666665
Singapore Grand Prix,VET,8.0
